"MetabolismID","OmimID"
"Lun_HMDB0000788","258900 "
"Lun_HMDB0000797","103050 ,608688 ,606812 "
"Lun_HMDB0000807","104300 ,600274 "
"Lun_HMDB0000828","176807 "
"Lun_HMDB0000830","604369 "
"Lun_HMDB0000845","126200 ,182125 ,168600 ,276880 ,266600 ,264070 "
"Lun_HMDB0000852","114500 ,210250 "
"Lun_HMDB0000855","601313 "
"Lun_HMDB0000884","114500 "
"Lun_HMDB0000937","210250 ,114500 "
"Lun_HMDB0001183","212750 ,209850 "
"Lun_HMDB0001336","104300 ,114500 "
"Lun_HMDB0001406","266600 ,114500 "
"Lun_HMDB0001453","266600 ,249650 "
"Lun_HMDB0001889","114500 ,600807 "
"Lun_HMDB0001960","104300 ,126200 ,168600 "
"Lun_HMDB0001976","243500 ,114500 "
"Lun_HMDB0002000","114500 "
"Lun_HMDB0002012","126200 "
"Lun_HMDB0002100","114500 "
"Lun_HMDB0002124","114500 "
"Lun_HMDB0002269","114500 "
"Lun_HMDB0002366","212750 "
"Lun_HMDB0002374","210250 "
"Lun_HMDB0002387","104300 ,168600 "
"Lun_HMDB0002395","114500 "
"Lun_HMDB0002776","181500 "
"Lun_HMDB0002825","248310 ,114500 ,600807 ,601313 "
"Lun_HMDB0002869","210250 ,114500 "
"Lun_HMDB0002886","180300 "
"Lun_HMDB0002902","114500 "
"Lun_HMDB0003080","614037 "
"Lun_HMDB0003378","105800 "
"Lun_HMDB0003638","104300 ,126200 ,168600 "
"Lun_HMDB0004118","126200 "
"Lun_HMDB0004610","114500 "
"Lun_HMDB0004628","104300 ,126200 ,168600 "
"Lun_HMDB0004667","601313 ,114500 "
"Lun_HMDB0004814","212750 ,209850 ,125853 "
"Lun_HMDB0004866","200100 "
"Lun_HMDB0004877","200100 "
"Lun_HMDB0004879","235400 "
"Lun_HMDB0004880","200100 "
"Lun_HMDB0004881","235400 "
"Lun_HMDB0004882","200100 "
"Lun_HMDB0004884","200100 "
"Lun_HMDB0004886","200100 "
"Lun_HMDB0005047","109720 "
"Lun_HMDB0005794","125853 "
"Lun_HMDB0005800","114500 "
"Lun_HMDB0006101","114500 "
"Lun_HMDB0006270","211980 "
"Lun_HMDB0006478","212750 ,266600 "
"Lun_HMDB0011623","600807 ,212750 "
"Lun_HMDB0013780","212750 ,209850 ,266600 "
"Lun_HMDB0028830","114500 "
"Lun_HMDB0029603","600807 ,266600 "
"Lun_HMDB0030776","114500 "
"Lun_HMDB0031217","209850 ,266600 ,212750 "
"Lun_HMDB0033844","601665 ,222100 "
"Lun_HMDB0034168","600807 ,209850 ,212750 "
"Lun_HMDB0035093","212750 "
"OBE_HMDB0000378","601313 "
"OBE_HMDB0000477","266600 "
"OBE_HMDB0002368","243500 ,114500 "
"OBE_HMDB0005047","109720 "
"OBE_HMDB0006270","211980 "
"OBE_HMDB0013161","601665 "
"OBE_HMDB0013207","231680 ,601665 "
"OBE_HMDB0013288","601665 "
"OBE_HMDB0013326","231680 ,601665 "
"OVA_HMDB0000085","114500 ,164050 "
"OVA_HMDB0000107","104300 "
"OVA_HMDB0000125","271900 ,181500 ,231950 ,126200 "
"OVA_HMDB0000145","613546 ,308100 "
"OVA_HMDB0000151","201810 ,613546 ,202110 ,308100 ,201710 ,600955 "
"OVA_HMDB0000174","114500 ,610247 "
"OVA_HMDB0000197","606788 ,209850 ,608516 ,114500 ,610247 ,276100 "
"OVA_HMDB0000211","608611 ,181500 ,104300 ,114500 ,610247 "
"OVA_HMDB0000212","114500 "
"OVA_HMDB0000239","617290 ,266600 ,114500 ,610247 "
"OVA_HMDB0000268","201710 "
"OVA_HMDB0000381","210500 "
"OVA_HMDB0000493","181500 "
"OVA_HMDB0000510","245130 ,266600 ,114500 ,610247 ,181500 "
"OVA_HMDB0000599","125853 ,126200 ,168600 "
"OVA_HMDB0000606","600721 ,615182 ,271550 "
"OVA_HMDB0000608","104300 ,126200 ,168600 "
"OVA_HMDB0000626","219700 ,114500 ,109720 "
"OVA_HMDB0000635","276700 ,276700 ,610247 "
"OVA_HMDB0000663","610247 "
"OVA_HMDB0000694","236792 ,615182 ,610247 ,600721 "
"OVA_HMDB0000753","212750 ,209850 "
"OVA_HMDB0000761","219700 ,210500 ,114500 ,109720 "
"OVA_HMDB0000782","114500 "
"OVA_HMDB0000788","258900 "
"OVA_HMDB0000797","103050 ,608688 ,606812 "
"OVA_HMDB0000807","104300 ,600274 "
"OVA_HMDB0000828","176807 "
"OVA_HMDB0000830","604369 "
"OVA_HMDB0000845","126200 ,182125 ,168600 ,276880 ,266600 ,264070 "
"OVA_HMDB0000852","114500 ,210250 "
"OVA_HMDB0000855","601313 "
"OVA_HMDB0000884","114500 "
"OVA_HMDB0000937","210250 ,114500 "
"OVA_HMDB0001336","104300 ,114500 "
"OVA_HMDB0001406","266600 ,114500 "
"OVA_HMDB0001976","243500 ,114500 "
"OVA_HMDB0002000","114500 "
"OVA_HMDB0002012","126200 "
"OVA_HMDB0002100","114500 "
"OVA_HMDB0002124","114500 "
"OVA_HMDB0002269","114500 "
"OVA_HMDB0002374","210250 "
"OVA_HMDB0002395","114500 "
"OVA_HMDB0002825","248310 ,114500 ,600807 ,601313 "
"OVA_HMDB0002869","210250 ,114500 "
"OVA_HMDB0002886","180300 "
"OVA_HMDB0002902","114500 "
"OVA_HMDB0003080","614037 "
"OVA_HMDB0004118","126200 "
"OVA_HMDB0004610","114500 "
"OVA_HMDB0004628","104300 ,126200 ,168600 "
"OVA_HMDB0004667","601313 ,114500 "
"OVA_HMDB0004814","212750 ,209850 ,125853 "
"OVA_HMDB0004866","200100 "
"OVA_HMDB0004877","200100 "
"OVA_HMDB0004879","235400 "
"OVA_HMDB0004880","200100 "
"OVA_HMDB0004881","235400 "
"OVA_HMDB0004882","200100 "
"OVA_HMDB0004884","200100 "
"OVA_HMDB0004886","200100 "
"OVA_HMDB0005047","109720 "
"OVA_HMDB0005794","125853 "
"OVA_HMDB0005800","114500 "
"OVA_HMDB0006101","114500 "
"OVA_HMDB0006270","211980 "
"OVA_HMDB0006478","212750 ,266600 "
"OVA_HMDB0011623","600807 ,212750 "
"OVA_HMDB0013780","212750 ,209850 ,266600 "
"OVA_HMDB0028830","114500 "
"OVA_HMDB0030776","114500 "
"OVA_HMDB0031217","209850 ,266600 ,212750 "
"OVA_HMDB0033844","601665 ,222100 "
"OVA_HMDB0034168","600807 ,209850 ,212750 "
"OVA_HMDB0035093","212750 "
